"id","profileName","text","date","title","rating","images","helpful","Colour","Size name"
"R3SEF8YE5HKNIW","Charan","All over watch as good performanceOne negative mark is battery is to low when watch connected to bt","Reviewed in India on 10 November 2022","Battery life is to low when watch connected to bt",4,"https://m.media-amazon.com/images/I/61ju4VCHygL.jpg",0,"Grey","1.69"""
"R2M9ETJNZ0GFZQ","Nikita S.","Product is amazing. Touch screen is smooth. Battery life is good. Great colour for females. Amazing speaker. Only drawback is it does not enable wakeup screen gesture. Otherwsie overall product is good.","Reviewed in India on 8 November 2022","Big features in small package",4,"",0,"Pink","1.69"""
"RT2FY0D4XHC1K","mamata behera","Nice watch","Reviewed in India on 14 November 2022","Nice watch",4,"",0,"Gold Black","1.69"""
"R1E8H41WRQUQB8","Akash Verma","I like it's accuracy. But I don't like it's built quality and battery performance.","Reviewed in India on 11 November 2022","Good smart watch 😊",4,"",0,"Gold Black","1.69"""
"R1LSL1YHYTVECC","MUTHUKUMAR P",,"Reviewed in India on 13 November 2022","Good",4,"https://m.media-amazon.com/images/I/61RkSWR3RqL.jpg",0,"Black","1.69"""
"R3D411WGRWKO1G","Ghost","Vibration intensity is too low, some times no vibration","Reviewed in India on 16 November 2022","Vibration intensity is too low, some times no vibration",4,"",0,"Black","1.69"""
"R2WPMC31QYO2AZ","Swapnil more","It was excellent product .","Reviewed in India on 16 November 2022","Very good product",4,"",0,"Black","1.69"""
"R3LOSXG2QOX6V3","Himanshu","Product is good but seller tricked the customer by showing higher price.","Reviewed in India on 22 November 2022","Product is over all good",4,"https://m.media-amazon.com/images/I/818QJ3owUQL.jpg",0,"Black","1.69"""
"R1ZZPNXU7K4LM5","Mahendra Patel","It is a best watch under 2000  battery is good touch is decent","Reviewed in India on 22 November 2022","Games is best",4,"",0,"Gold Black","1.69"""
"R14WHZIH2C28L5","Hitesh Relwani","I like the product. It is quite good from my expectation and contact sync is a main point that ive expected and satisfied","Reviewed in India on 8 November 2022","Contact visibility of all saved contacts",4,"",0,"Black","1.69"""
"R7019PR2ZB7JT","Mukunda k","Good product...","Reviewed in India on 16 November 2022","Nice product worth buying it...",4,"",0,"Pink","1.69"""
"RFF5LK40BBNZG","Amazon Customer","Every thing is good need to improve battery life .","Reviewed in India on 21 November 2022","Every thing is good .value for money",4,"https://m.media-amazon.com/images/I/61+lXbg4sOL.jpg",0,"Black","1.69"""
"R2ZJM414CDSYYF","Om Rajulwar","Best","Reviewed in India on 13 November 2022","Best",4,"https://m.media-amazon.com/images/I/61oq6yiKsBL.jpg",0,"Grey","1.69"""
"R1RTVV6UUDOWPS","Vijay","Amazon delivered on time, the product seems to work well so far. Haven't explored it completely but so far so good.","Reviewed in India on 21 November 2022","So far so good",4,"","4","Black","1.69"""
"RWL5DU6AJLOG8","zadab terang","Everything is just amazing","Reviewed in India on 16 November 2022","Just awesome",4,"",0,"Grey","1.69"""
"RWXBSM66CCH5","Avinav singh","I like this product all things iss fine","Reviewed in India on 19 November 2022","Good product ❤️",4,"",0,"Pink","1.69"""
"R1GPXL1KLJTD","Sujay Murabatte","When calling is on battery is not longlostic","Reviewed in India on 20 November 2022","Health",4,"",0,"Black","1.69"""
"R1BP72AE2VNEJY","Subham V",,"Reviewed in India on 14 November 2022","The watch is amazingly good,  works properly liked it a lot.",4,"https://m.media-amazon.com/images/I/61ccAhJyymL.jpg",0,"Grey","1.69"""
"R3U6ITF02Y9Q4J","Dongri Ramakanth","Good product","Reviewed in India on 15 November 2022","Firebolt",4,"",0,"Black","1.69"""
"R12D0PSZFTUIHJ","Pankaj","Best in these price range","Reviewed in India on 23 November 2022","Good but not the best",4,"",0,"Black","1.69"""
"R1PJNMN9FIGT6H","Ranjeet Kumar Singh","Nice product","Reviewed in India on 14 November 2022","Nice product",4,"",0,"Gold Black","1.69"""
"R2VNLTPJX6W6LT","Basil",,"Reviewed in India on 15 November 2022","Over all good product",4,"https://m.media-amazon.com/images/I/61CqoBuTAPL.jpg",0,"Black","1.69"""
"R1GSRJAIN96OAE","Sunil Bamane","Everything is good about the watch","Reviewed in India on 24 November 2022","Good",4,"",0,"Black","1.69"""
"R2LMY6VL8SBKUL","Pushparaj","Touch screen working good and sleep tracking accuracy nice","Reviewed in India on 20 November 2022","Nice device , speaker working very clearly , call going and notifications very good",4,"https://m.media-amazon.com/images/I/51hRvLIQZXL.jpg",0,"Black","1.69"""
